"id","area_sqft","bedrooms","bathrooms","price","date","address","latitude","longitude"
"57782","817","1","1","1240000","2023-01-16","1550 ALBERNI STREET","49.2898","-123.13131"
"57849","3018","3","4","3930000","2023-06-01","2088 BARCLAY STREET","49.2925","-123.14203"
"87394","1940","2","3","1928000","2023-07-06","2150 40TH AVENUE W","49.23526","-123.15672"
"38119","1360","2","2","1350000","2023-07-12","1480 HOWE STREET","49.27489","-123.13117"
"116559","733","2","2","865000","2023-02-01","8189 CAMBIE STREET","49.21013","-123.11834"
"97088","918","2","2","1188000","2023-01-11","528 KING EDWARD AVENUE W","49.2488157","-123.116557"
"37891","802","2","2","838000","2023-04-15","2689 KINGSWAY","49.23867","-123.05047"
"28174","812","2","2","935000","2023-02-23","38 SMITHE STREET","49.2745863","-123.1128816"
"67640","921","2","2","960000","2023-02-04","1383 MARINASIDE CRESCENT","49.27177","-123.12209"
"17785","651","1","1","500001","2023-02-17","2133 DUNDAS STREET","49.28507","-123.06055"
"17695","646","1","1","470000","2023-01-03","1723 FRANCES STREET","49.27963","-123.07"
"86889","526","1","1","665000","2023-04-19","180 2ND AVENUE E","49.26885","-123.10121"
"87113","489","1","1","817590","2023-05-07","1568 ALBERNI STREET","49.28969","-123.13129"
"37960","1155","2","2","855000","2023-05-13","7620 COLUMBIA STREET","49.21578","-123.11211"
"17687","604","1","1","460000","2023-02-21","8775 CARTIER STREET W","49.20599","-123.13827"
"87383","1291","2","2","1600000","2023-01-17","1483 HOMER STREET","49.27207","-123.12677"
"116466","894","2","2","798000","2023-01-16","4638 GLADSTONE STREET","49.2432401","-123.0620055"
"8999","575","1","1","449000","2023-05-23","6963 VICTORIA DRIVE","49.22081","-123.06626"
"146066","895","2","2","770000","2023-01-11","930 7TH AVENUE E","49.26406","-123.08448"
"125835","697","1","1","583000","2023-07-23","1585 4TH AVENUE E","49.26716","-123.07189"
"28028","790","1","2","776000","2023-04-19","289 ALEXANDER STREET","49.28443","-123.09843"
"47981","1260","3","2","1430000","2023-07-16","1238 MELVILLE STREET","49.28822","-123.12536"
"97184","2031","4","4","2780000","2023-09-13","7428-608 ALBERTA STREET","49.21735","-123.11266"
"47879","1016","2","2","1047000","2023-04-25","1009 EXPO BOULEVARD","49.2747366","-123.1163874"
"96556","506","1","1","630000","2023-03-19","1133 HORNBY STREET","49.27926","-123.12746"
"126479","500","1","1","860000","2023-04-21","89 NELSON STREET","49.27497","-123.11538"
"47347","560","1","1","610000","2023-04-12","1723 ALBERNI STREET","49.29171","-123.13309"
"97136","952","2","2","1400000","2023-03-02","889 PACIFIC STREET","49.276389","-123.1311517"
"154903","546","1","1","310000","2023-04-11","1850 COMOX STREET","49.28897","-123.14078"
"136603","1942","3","3","1585000","2023-03-02","2150 40TH AVENUE W","49.23526","-123.15672"
"116043","652","1","1","595000","2023-01-29","128 CORDOVA STREET W","49.28252","-123.10796"
"18075","608","1","1","650000","2023-02-01","938 SMITHE STREET","49.28171","-123.1239"
"96053","508","1","1","440000","2023-01-22","1040 PACIFIC STREET","49.27737","-123.13376"
"115893","529","1","1","545000","2023-01-30","5470 ORMIDALE STREET","49.23429","-123.02421"
"77530","925","3","2","942000","2023-05-08","2121 38TH AVENUE W","49.23762","-123.15639"
"135855","540","1","1","586000","2023-02-05","5470 ORMIDALE STREET","49.23429","-123.02421"
"77657","948","2","2","1272500","2023-02-04","1180 HOMER STREET","49.27533","-123.1226"
"8889","1547","3","4","2283000","2023-02-13","6328 CAMBIE STREET","49.2275309","-123.1161092"
"8737","878","2","2","953000","2023-04-14","1205 HOWE STREET","49.27776","-123.12779"
"116786","2131","4","3","3395000","2023-02-16","1550 COAL HARBOUR QUAY","49.2912719","-123.1280198"
"126563","1136","1","1","970000","2023-04-06","55 CORDOVA STREET E","49.28259","-123.10296"
"47383","476","1","1","628000","2023-01-16","8888 OSLER STREET","49.20507","-123.1308"
"116545","928","1","1","851482","2023-04-28","55 CORDOVA STREET E","49.28259","-123.10296"
"67165","528","1","1","628800","2023-03-18","1973 49TH AVENUE E","49.2253149","-123.0661498"
"67759","1144","2","3","1688000","2023-03-10","3639 16TH AVENUE W","49.2581449","-123.1848232"
"67039","577","1","1","595800","2023-02-27","239 KEEFER STREET","49.27971","-123.09831"
"57712","933","2","2","1020000","2023-02-23","2655 CRANBERRY DRIVE","49.26223","-123.15416"
"86414","730","1","1","491800","2023-03-30","1251 71ST AVENUE W","49.20723","-123.13398"
"106793","891","1","1","873000","2023-03-09","2988 ALDER STREET","49.25903","-123.13077"
